,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
176,Bode Davis,us USA,MFDF,Real Salt Lake,20-189,2002,5,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.86,0.86,0.00,0.86,Matches,891f8b82
177,Jake Davis,us USA,MF,Sporting KC,20-239,2002,3,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,79d3a503
178,Sean Davis,us USA,MF,Nashville,29-203,1993,28,26,2323,25.8,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.3,0.9,0.02,0.01,0.03,0.02,0.03,Matches,cb75cac9
179,Miloš Degenek,au AUS,DF,Columbus Crew,28-124,1994,20,17,1532,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.04,0.01,0.05,0.04,0.05,Matches,c8e65157
180,Alex DeJohn,us USA,DF,Atlanta Utd,31-112,1991,5,4,416,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.08,0.01,0.09,0.08,0.09,Matches,2a6c024c
181,A.J. DeLaGarza,gu GUM,DFMF,New England,34-299,1987,4,4,290,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,171b3c37
182,Marky Delgado,us USA,MF,LA Galaxy,27-106,1995,22,22,1920,21.3,2,1,1,1,1,5,1,0.09,0.05,0.14,0.05,0.09,1.0,0.2,1.8,2.0,0.05,0.08,0.13,0.01,0.09,Matches,7f6a25b7
183,Nick DePuy,us USA,DF,LA Galaxy,27-289,1994,17,14,1285,14.3,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.06,0.00,0.07,0.06,0.07,Matches,ba7b4e67
184,Silvester van der Water,nl NED,FWMF,Orlando City,25-334,1996,4,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches,5d83500d
185,Joey DeZart,us USA,DF,Orlando City,24-082,1998,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9d7142a6
186,Luis Díaz,cr CRC,FW,Columbus Crew,23-267,1998,19,10,967,10.7,1,5,1,0,0,3,0,0.09,0.47,0.56,0.09,0.56,1.2,1.2,2.4,3.7,0.11,0.23,0.34,0.11,0.34,Matches,1c9838aa
187,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,33-019,1989,26,26,2256,25.1,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,0.4,0.4,0.1,0.5,0.02,0.00,0.02,0.02,0.02,Matches,247accfd
188,Clément Diop,sn SEN,GK,Inter Miami,28-322,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0d5c0218
189,Sofiane Djeffal,fr FRA,MF,D.C. United,23-143,1999,24,16,1417,15.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.03,0.02,0.05,0.03,0.05,Matches,29d85f83
190,Moussa Djitte,sn SEN,FW,Austin,22-330,1999,12,1,236,2.6,1,1,1,0,0,0,0,0.38,0.38,0.76,0.38,0.76,1.4,1.4,0.0,1.4,0.52,0.00,0.52,0.52,0.52,Matches,627b570a
191,Ethan Dobbelaere,us USA,DFFW,Seattle,19-289,2002,6,1,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.05,0.08,0.03,0.08,Matches,1e772b7c
192,Cecilio Domínguez,py PAR,FWMF,Austin,28-019,1994,4,4,280,3.1,2,0,2,0,0,1,0,0.64,0.00,0.64,0.64,0.64,1.5,1.5,0.1,1.7,0.50,0.03,0.53,0.50,0.53,Matches,3162d667
