,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
429,Jimmy Maurer,us USA,GK,FC Dallas,33-320,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ca1c6f3d
430,José Mauri,it ITA,MF,Sporting KC,26-106,1996,1,0,27,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,644faf10
431,Chris Mavinga,cd COD,DF,Toronto FC,31-096,1991,15,15,1179,13.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fda36cfb
432,Max,br BRA,MFFW,Colorado Rapids,21-110,2001,21,7,643,7.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,0.2,2.2,0.28,0.03,0.31,0.28,0.31,Matches,67c3efa4
433,Olivier Mbaizo,cm CMR,DF,Philadelphia,25-015,1997,15,10,980,10.9,0,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.1,0.1,2.4,2.5,0.01,0.22,0.23,0.01,0.23,Matches,f6315619
434,John McCarthy,us USA,GK,Los Angeles FC,30-057,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,249362e9
435,Dax McCarty,us USA,MF,Nashville,35-122,1987,23,17,1417,15.7,0,1,0,0,1,2,1,0.00,0.06,0.06,0.00,0.06,1.4,0.6,2.3,2.9,0.09,0.14,0.23,0.04,0.18,Matches,b74e58c0
436,Aiden McFadden,us USA,DF,Atlanta Utd,23-336,1998,11,8,639,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.2,1.5,0.04,0.17,0.21,0.04,0.21,Matches,eed1b8f6
437,Jack McGlynn,us USA,MF,Philadelphia,19-054,2003,17,5,680,7.6,1,2,1,0,0,2,0,0.13,0.26,0.40,0.13,0.40,0.7,0.7,0.9,1.6,0.09,0.12,0.21,0.09,0.21,Matches,e2b8c25c
438,Zac McGraw,us USA,DF,Portland Timbers,25-083,1997,18,7,772,8.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.05,0.00,0.05,0.05,0.05,Matches,83129dc7
439,Thomas McNamara,us USA,MF,New England,31-205,1991,26,23,1912,21.2,2,3,2,0,0,6,0,0.09,0.14,0.24,0.09,0.24,1.8,1.8,0.9,2.7,0.09,0.04,0.13,0.09,0.13,Matches,ab36595d
440,Quinn McNeill,us USA,MF,Charlotte,24-000,1998,10,9,619,6.9,1,1,1,0,0,2,0,0.15,0.15,0.29,0.15,0.29,0.4,0.4,0.2,0.7,0.06,0.03,0.10,0.06,0.10,Matches,2a9b1a97
441,Christopher McVey,se SWE,DF,Inter Miami,25-140,1997,27,27,2430,27.0,1,1,1,0,0,2,0,0.04,0.04,0.07,0.04,0.07,1.1,1.1,1.0,2.1,0.04,0.04,0.08,0.04,0.08,Matches,149d8165
442,Ryan Meara,us USA,GK,NY Red Bulls,31-288,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,18f0723b
443,Jimmy Medranda,co COL,DFFW,Seattle,28-204,1994,17,7,546,6.1,0,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.9,0.9,0.8,1.7,0.15,0.13,0.27,0.15,0.27,Matches,6f7ac622
444,Haris Medunjanin,ba BIH,MF,FC Cincinnati,37-175,1985,20,4,472,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.5,1.6,0.03,0.28,0.31,0.03,0.31,Matches,de5d5d41
445,Tim Melia,us USA,GK,Sporting KC,36-107,1986,21,21,1852,20.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,cc741f50
446,Jhegson Méndez,ec ECU,MF,Los Angeles FC,25-126,1997,6,1,185,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.04,0.03,0.07,0.04,0.07,Matches,db0c5324
447,Jhegson Méndez,ec ECU,MF,Orlando City,25-126,1997,13,5,417,4.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,db0c5324
448,Jonathan Mensah,gh GHA,DF,Columbus Crew,32-048,1990,24,24,2160,24.0,1,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,1.3,1.3,0.2,1.5,0.05,0.01,0.06,0.05,0.06,Matches,8087e6cb
449,Justin Meram,iq IRQ,MFFW,Real Salt Lake,33-269,1988,26,25,2038,22.6,3,6,3,0,0,3,0,0.13,0.26,0.40,0.13,0.40,3.1,3.1,5.4,8.5,0.14,0.24,0.38,0.14,0.38,Matches,ae34c71d
450,Romain Métanire,mg MAD,DF,Minnesota Utd,32-155,1990,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0fb21da9
451,Nicolás Mezquida,uy URU,MFFW,Colorado Rapids,30-221,1992,9,0,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.12,0.18,0.06,0.18,Matches,00b629e1
452,Matt Miazga,us USA,DF,FC Cincinnati,27-042,1995,3,3,216,2.4,2,0,2,0,0,2,0,0.83,0.00,0.83,0.83,0.83,0.2,0.2,0.8,1.0,0.07,0.34,0.40,0.07,0.40,Matches,9fc0f253
453,Micael,br BRA,DF,Houston Dynamo,22-018,2000,1,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ea95d7a6
454,Benji Michel,us USA,FWMF,Orlando City,24-311,1997,24,12,1247,13.9,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,2.5,2.5,0.8,3.2,0.18,0.05,0.23,0.18,0.23,Matches,151ca25f
455,Djordje Mihailovic,us USA,MFFW,CF Montréal,23-293,1998,21,19,1559,17.3,7,3,7,0,0,4,0,0.40,0.17,0.58,0.40,0.58,4.3,4.3,4.7,9.0,0.25,0.27,0.52,0.25,0.52,Matches,83cf9719
456,Matko Miljevic,us USA,MFFW,CF Montréal,21-113,2001,17,6,582,6.5,1,0,0,1,1,3,0,0.15,0.00,0.15,0.00,0.00,1.9,1.1,1.0,2.1,0.29,0.15,0.44,0.17,0.32,Matches,74b76abc
457,Eric Miller,us USA,DF,Nashville,29-227,1993,21,14,1314,14.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.04,0.05,0.01,0.05,Matches,c0593f5d
458,Kamal Miller,ca CAN,DF,CF Montréal,25-106,1997,22,21,1879,20.9,1,3,1,0,0,4,1,0.05,0.14,0.19,0.05,0.19,1.8,1.8,0.8,2.6,0.09,0.04,0.13,0.09,0.13,Matches,0646bd8a
459,Tyler Miller,us USA,GK,Minnesota Utd,29-171,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7827a6b3
460,Kevin Molino,tt TRI,FWMF,Columbus Crew,32-074,1990,6,1,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,371645ca
461,Jamiro Monteiro,cv CPV,MF,San Jose,28-280,1993,25,25,2106,23.4,3,6,3,0,0,1,1,0.13,0.26,0.38,0.13,0.38,2.2,2.2,4.5,6.6,0.09,0.19,0.28,0.09,0.28,Matches,d384bddd
462,Fredy Montero,co COL,FWMF,Seattle,35-035,1987,20,10,986,11.0,2,0,1,1,1,1,0,0.18,0.00,0.18,0.09,0.09,3.6,2.9,1.6,4.5,0.33,0.15,0.48,0.26,0.41,Matches,bc5b5be5
463,Kim Moonhwan,kr KOR,DF,Los Angeles FC,27-029,1995,1,1,78,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6bce7dd8
464,Drew Moor,us USA,DF,Colorado Rapids,38-227,1984,8,1,219,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,220cf869
465,Shaquell Moore,us USA,DF,Nashville,25-301,1996,5,5,351,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.03,0.06,0.09,0.03,0.09,Matches,3b9f859b
466,Felipe Mora,cl CHI,FW,Portland Timbers,29-028,1993,7,0,83,0.9,1,0,0,1,1,0,0,1.08,0.00,1.08,0.00,0.00,1.2,0.4,0.0,0.4,1.29,0.00,1.29,0.47,0.47,Matches,f4b0ea46
467,Joseph Mora,cr CRC,DF,Charlotte,29-227,1993,21,16,1552,17.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.5,1.6,0.01,0.09,0.09,0.01,0.09,Matches,2af71023
468,Alfredo Morales,us USA,MFDF,NYCFC,32-110,1990,23,21,1854,20.6,0,2,0,0,0,9,1,0.00,0.10,0.10,0.00,0.10,1.0,1.0,0.6,1.6,0.05,0.03,0.08,0.05,0.08,Matches,ff45add5
469,Maximiliano Moralez,ar ARG,MF,NYCFC,35-184,1987,22,19,1617,18.0,2,6,2,0,1,3,0,0.11,0.33,0.45,0.11,0.45,3.2,2.5,5.5,8.0,0.18,0.31,0.49,0.14,0.45,Matches,f99f37fc
470,Steven Moreira,fr FRA,DF,Columbus Crew,28-017,1994,24,24,2082,23.1,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,0.6,0.6,2.3,2.9,0.03,0.10,0.12,0.03,0.12,Matches,f10983ae
471,Junior Moreno,ve VEN,MF,FC Cincinnati,29-041,1993,20,19,1632,18.1,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,0.9,0.9,0.8,1.7,0.05,0.04,0.09,0.05,0.09,Matches,5dcb4ac4
472,Marcelino Moreno,ar ARG,MFFW,Atlanta Utd,28-066,1994,26,18,1681,18.7,2,4,2,0,1,4,0,0.11,0.21,0.32,0.11,0.32,3.4,2.6,4.0,6.6,0.18,0.21,0.39,0.14,0.35,Matches,058c938c
473,Santiago Moreno,co COL,FWMF,Portland Timbers,22-131,2000,28,22,1911,21.2,5,5,3,2,2,1,0,0.24,0.24,0.47,0.14,0.38,4.6,3.1,4.4,7.5,0.22,0.21,0.42,0.15,0.35,Matches,3261d0e4
474,Lewis Morgan,sct SCO,FWMF,NY Red Bulls,25-334,1996,26,25,2120,23.6,12,3,7,5,5,1,0,0.51,0.13,0.64,0.30,0.42,8.7,4.9,2.8,7.7,0.37,0.12,0.49,0.21,0.33,Matches,b675e328
475,Aidan Morris,us USA,MF,Columbus Crew,20-287,2001,20,14,1264,14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.02,0.01,0.03,0.02,0.03,Matches,3778339c
476,Jordan Morris,us USA,FWMF,Seattle,27-308,1994,23,21,1865,20.7,7,1,7,0,0,2,0,0.34,0.05,0.39,0.34,0.39,9.0,9.0,4.0,13.0,0.43,0.19,0.63,0.43,0.63,Matches,bd298d0d
477,Ravel Morrison,jm JAM,MFFW,D.C. United,29-209,1993,7,7,574,6.4,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.7,0.7,0.1,0.8,0.10,0.02,0.13,0.10,0.13,Matches,bf59c794
478,Edwin Mosquera,co COL,MFDF,Atlanta Utd,21-064,2001,5,0,99,1.1,0,1,0,0,0,1,0,0.00,0.91,0.91,0.00,0.91,0.4,0.4,0.4,0.7,0.32,0.35,0.67,0.32,0.67,Matches,15cda5f6
479,Jean Mota,br BRA,MF,Inter Miami,28-319,1993,26,26,2066,23.0,2,2,2,0,0,6,1,0.09,0.09,0.17,0.09,0.17,1.4,1.4,2.2,3.6,0.06,0.10,0.16,0.06,0.16,Matches,1ee0513b
480,João Moutinho,pt POR,DF,Orlando City,24-230,1998,21,21,1855,20.6,2,0,2,0,0,6,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,0.9,2.0,0.05,0.05,0.10,0.05,0.10,Matches,a0aee24e
481,Chris Mueller,us USA,FWMF,Chicago Fire,26-001,1996,18,17,1454,16.2,4,3,4,0,0,4,0,0.25,0.19,0.43,0.25,0.43,4.4,4.4,2.5,6.9,0.27,0.15,0.43,0.27,0.43,Matches,a5334099
482,Hany Mukhtar,de GER,FWMF,Nashville,27-162,1995,27,26,2296,25.5,16,7,13,3,4,3,0,0.63,0.27,0.90,0.51,0.78,14.9,11.8,7.1,18.9,0.58,0.28,0.86,0.46,0.74,Matches,87fe8526
483,Jake Mulraney,ie IRL,FWDF,Atlanta Utd,26-147,1996,7,1,184,2.0,1,0,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,0.3,0.3,0.1,0.4,0.14,0.07,0.20,0.14,0.20,Matches,0f04858e
484,Jake Mulraney,ie IRL,FWMF,Orlando City,26-147,1996,14,9,660,7.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.07,0.05,0.12,0.07,0.12,Matches,0f04858e
485,Eddie Munjoma,us USA,DF,FC Dallas,24-043,1998,3,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0e1f6ffa
486,Ian Murphy,us USA,DF,FC Cincinnati,22-226,2000,21,14,1214,13.5,1,0,1,0,0,0,0,0.07,0.00,0.07,0.07,0.07,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches,c6d233e3
487,Daniel Musovski,us USA,FWMF,Los Angeles FC,26-273,1995,16,6,513,5.7,2,1,2,0,0,2,0,0.35,0.18,0.53,0.35,0.53,2.6,2.6,0.4,3.0,0.46,0.07,0.53,0.46,0.53,Matches,925a2703
488,Alex Muyl,us USA,DFMF,Nashville,26-334,1995,25,21,1866,20.7,2,1,2,0,0,8,0,0.10,0.05,0.14,0.10,0.14,2.5,2.5,1.9,4.4,0.12,0.09,0.21,0.12,0.21,Matches,2c1025bf
489,Darlington Nagbe,us USA,MF,Columbus Crew,32-042,1990,26,26,2316,25.7,3,0,3,0,0,2,0,0.12,0.00,0.12,0.12,0.12,2.1,2.1,1.6,3.8,0.08,0.06,0.15,0.08,0.15,Matches,6219c704
490,Andy Najar,hn HON,DF,D.C. United,29-167,1993,18,15,1216,13.5,0,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.5,0.5,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches,f8280175
491,Federico Navarro,ar ARG,MF,Chicago Fire,22-174,2000,25,22,2011,22.3,2,2,2,0,0,6,1,0.09,0.09,0.18,0.09,0.18,1.3,1.3,0.6,1.9,0.06,0.03,0.09,0.06,0.09,Matches,61c628be
492,Miguel Navarro,ve VEN,DF,Chicago Fire,23-185,1999,18,18,1618,18.0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches,3fbff39a
493,Logan Ndenbe,be BEL,DF,Sporting KC,22-202,2000,21,18,1663,18.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.03,0.04,0.01,0.04,Matches,f625e8a5
494,Dylan Nealis,us USA,DF,NY Red Bulls,24-031,1998,23,16,1474,16.4,0,2,0,0,0,7,1,0.00,0.12,0.12,0.00,0.12,0.5,0.5,0.9,1.4,0.03,0.05,0.09,0.03,0.09,Matches,24f4dd87
495,Sean Nealis,us USA,DF,NY Red Bulls,25-229,1997,27,27,2412,26.8,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.4,1.7,0.05,0.01,0.06,0.05,0.06,Matches,8c1b17b3
496,Jayden Nelson,ca CAN,MFFW,Toronto FC,19-338,2002,26,22,1728,19.2,1,2,1,0,0,5,0,0.05,0.10,0.16,0.05,0.16,1.9,1.9,1.1,2.9,0.10,0.06,0.15,0.10,0.15,Matches,92305a81
497,John Nelson,us USA,DF,FC Cincinnati,24-050,1998,21,13,1136,12.6,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.8,0.9,0.01,0.06,0.07,0.01,0.07,Matches,df8c4d49
498,Michael Nelson,us USA,GK,Houston Dynamo,27-201,1995,2,1,155,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f4a12161
499,Jake Nerwinski,us USA,DF,Vancouver,27-317,1994,20,16,1478,16.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches,2b5801d0
500,Serge Ngoma,us USA,FWMF,NY Red Bulls,17-052,2005,7,1,116,1.3,2,0,2,0,0,0,0,1.55,0.00,1.55,1.55,1.55,0.5,0.5,0.0,0.5,0.36,0.00,0.36,0.36,0.36,Matches,de7a0fe6
501,Sam Nicholson,sct SCO,MFFW,Colorado Rapids,27-222,1995,8,5,386,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,1.0,0.02,0.21,0.23,0.02,0.23,Matches,8c8ac996
502,Jarosław Niezgoda,pl POL,FW,Portland Timbers,27-168,1995,24,22,1757,19.5,9,2,9,0,0,0,0,0.46,0.10,0.56,0.46,0.56,5.1,5.1,2.6,7.7,0.26,0.14,0.39,0.26,0.39,Matches,60c659b6
503,Chinonso Nnamdi Offor,ng NGA,FW,Chicago Fire,22-095,2000,7,3,268,3.0,1,0,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,1.3,1.3,0.1,1.4,0.43,0.04,0.46,0.43,0.46,Matches,dc590664
504,Tsiki Ntsabeleng,za RSA,MF,FC Dallas,24-202,1998,24,11,795,8.8,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,1.7,1.7,0.3,2.0,0.19,0.04,0.23,0.19,0.23,Matches,bcbc53d5
505,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,25-274,1996,17,16,1434,15.9,0,1,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,1.0,1.1,0.01,0.06,0.07,0.01,0.07,Matches,897c8066
506,Moses Nyeman,us USA,MF,D.C. United,18-298,2003,2,2,142,1.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,09d33255
507,Shane O'Neill,us USA,DF,Toronto FC,28-362,1993,20,16,1423,15.8,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.9,1.0,0.01,0.05,0.06,0.01,0.06,Matches,a62a56b4
508,Jáder Obrian,co COL,FW,FC Dallas,27-104,1995,26,11,1060,11.8,1,2,1,0,0,4,0,0.08,0.17,0.25,0.08,0.25,2.6,2.6,3.3,5.9,0.22,0.28,0.50,0.22,0.50,Matches,1471b2a8
509,David Ochoa,us USA,GK,D.C. United,21-226,2001,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,dba6b279
510,Chris Odoi-Atsem,us USA,DF,D.C. United,27-094,1995,13,3,411,4.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,375ec69e
511,Noble Okello,ca CAN,MF,Toronto FC,22-041,2000,4,1,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.28,0.04,0.32,0.28,0.32,Matches,6bc16162
512,Wyatt Omsberg,us USA,DF,Chicago Fire,26-343,1995,14,14,1259,14.0,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.3,1.3,0.0,1.3,0.09,0.00,0.09,0.09,0.09,Matches,cd44ba68
513,Easton Ongaro,ca CAN,FW,Vancouver,24-086,1998,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8d3dd05f
514,Kwadwo Opoku,gh GHA,FWMF,Los Angeles FC,21-048,2001,27,18,1489,16.5,7,2,7,0,0,0,0,0.42,0.12,0.54,0.42,0.54,6.3,6.3,4.0,10.3,0.38,0.24,0.62,0.38,0.62,Matches,226a288e
515,Arquimides Ordonez,gt GUA,FWMF,FC Cincinnati,19-025,2003,8,0,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.43,0.00,0.43,0.43,0.43,Matches,8941d9b2
516,Jaziel Orozco,us USA,DF,Real Salt Lake,18-089,2004,4,3,315,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,46af4656
517,Christian Ortiz,ar ARG,MFFW,Charlotte,30-010,1992,15,8,642,7.1,1,2,1,0,0,4,0,0.14,0.28,0.42,0.14,0.42,0.7,0.7,2.0,2.7,0.10,0.28,0.38,0.10,0.38,Matches,bd8ddbd6
518,Jonathan Osorio,ca CAN,MF,Toronto FC,30-079,1992,22,20,1668,18.5,9,4,9,0,0,5,0,0.49,0.22,0.70,0.49,0.70,4.5,4.5,1.7,6.2,0.24,0.09,0.33,0.24,0.33,Matches,70106ff6
519,Bryan Oviedo,cr CRC,DF,Real Salt Lake,32-193,1990,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,31faf295
520,Leonard Owusu,gh GHA,MF,Vancouver,25-088,1997,13,9,684,7.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,a06c6c8a
521,Maarten Paes,nl NED,GK,FC Dallas,24-108,1998,27,27,2430,27.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,eb343262
522,Diego Palacios,ec ECU,DF,Los Angeles FC,23-049,1999,22,22,1925,21.4,1,3,1,0,0,6,0,0.05,0.14,0.19,0.05,0.19,0.5,0.5,2.7,3.2,0.02,0.13,0.15,0.02,0.15,Matches,6ec37f2e
523,Victor Pálsson,is ISL,MFDF,D.C. United,31-122,1991,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.13,0.00,0.13,0.13,0.13,Matches,831cf3ac
524,Elliot Panicco,us USA,GK,Nashville,25-285,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e93972ac
525,James Pantemis,ca CAN,GK,CF Montréal,25-190,1997,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,901408ac
526,Cristhian Paredes,py PAR,MF,Portland Timbers,24-104,1998,21,17,1403,15.6,2,2,1,1,1,5,0,0.13,0.13,0.26,0.06,0.19,2.7,2.0,1.6,3.6,0.18,0.10,0.28,0.13,0.23,Matches,0d8a2551
527,Tim Parker,us USA,DF,Houston Dynamo,29-188,1993,22,20,1747,19.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.03,0.01,0.04,0.03,0.04,Matches,4988a44d
528,Keaton Parks,us USA,MF,NYCFC,25-024,1997,14,11,906,10.1,2,0,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,1.8,1.8,1.0,2.7,0.18,0.10,0.27,0.18,0.27,Matches,77986763
529,Tyler Pasher,ca CAN,FW,Houston Dynamo,28-125,1994,17,5,628,7.0,2,1,2,0,0,0,0,0.29,0.14,0.43,0.29,0.43,1.7,1.7,0.3,2.1,0.25,0.05,0.30,0.25,0.30,Matches,3a7bec1b
530,Alexandre Pato,br BRA,FWMF,Orlando City,32-362,1989,22,14,1196,13.3,3,5,2,1,1,0,0,0.23,0.38,0.60,0.15,0.53,3.9,3.1,4.2,7.4,0.29,0.32,0.61,0.24,0.55,Matches,7dd83c7d
531,João Paulo Mior,br BRA,MF,Seattle,31-175,1991,6,6,453,5.0,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.3,0.3,0.2,0.4,0.06,0.03,0.09,0.06,0.09,Matches,b96aa1d6
532,Jason Pendant,fr FRA,DF,NY Red Bulls,25-202,1997,5,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.09,0.08,0.17,0.09,0.17,Matches,22fe9049
533,Andrés Perea,us USA,MF,Orlando City,21-289,2000,19,6,660,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.04,0.05,0.09,0.04,0.09,Matches,7e1dbecf
534,Daniel Pereira,ve VEN,MF,Austin,22-047,2000,24,21,1669,18.5,2,0,2,0,0,8,2,0.11,0.00,0.11,0.11,0.11,1.0,1.0,1.1,2.1,0.05,0.06,0.11,0.05,0.11,Matches,b8862e65
535,Gabriel Pereira,br BRA,FW,NYCFC,21-029,2001,19,8,883,9.8,6,1,6,0,0,0,0,0.61,0.10,0.71,0.61,0.71,3.0,3.0,0.9,4.0,0.31,0.10,0.40,0.31,0.40,Matches,60c4ac82
536,Mauricio Pereyra,uy URU,MF,Orlando City,32-168,1990,25,24,1991,22.1,1,6,1,0,0,5,0,0.05,0.27,0.32,0.05,0.32,1.3,1.3,4.7,6.0,0.06,0.21,0.27,0.06,0.27,Matches,f45eb18d
537,Adrien Perez,us USA,MF,D.C. United,26-321,1995,3,1,133,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.09,0.02,0.11,0.09,0.11,Matches,298a167b
